TransactionID,CustomerID,ProductID,TransactionDate,Quantity,TotalValue,Price_x,CalculatedTotal,CustomerName,Region,SignupDate,ProductName,Category,Price_y
T00518,C0200,P034,11-12-2024 3.05,4,868.2,217.05,868.2,Kelly Cross,Asia,11-06-2023,HomeSense T-Shirt,Clothing,217.05
T00546,C0049,P034,30-08-2024 6.42,1,217.05,217.05,217.05,Jason Yates,North America,18-09-2024,HomeSense T-Shirt,Clothing,217.05
T00982,C0103,P034,17-07-2024 3.25,1,217.05,217.05,217.05,Jennifer Munoz,Europe,15-05-2022,HomeSense T-Shirt,Clothing,217.05
T00003,C0028,P057,25-01-2024 14.28,4,958.8,239.7,958.8,Jennifer Pena,Asia,29-06-2024,ActiveWear Smartphone,Electronics,239.7
T00013,C0183,P057,04-03-2024 22.09,4,958.8,239.7,958.8,Kimberly Johnson,North America,23-01-2024,ActiveWear Smartphone,Electronics,239.7
T00017,C0087,P057,09-05-2024 3.52,4,958.8,239.7,958.8,Travis Campbell,South America,11-04-2024,ActiveWear Smartphone,Electronics,239.7
T00046,C0190,P057,28-07-2024 6.29,4,958.8,239.7,958.8,Alexander Lowe,South America,31-05-2024,ActiveWear Smartphone,Electronics,239.7
T00091,C0200,P057,27-04-2024 19.06,1,239.7,239.7,239.7,Kelly Cross,Asia,11-06-2023,ActiveWear Smartphone,Electronics,239.7
T00161,C0055,P057,15-07-2024 7.02,2,479.4,239.7,479.4,Lauren Williams,North America,11-11-2024,ActiveWear Smartphone,Electronics,239.7
T00184,C0188,P057,13-05-2024 7.24,2,479.4,239.7,479.4,Anna Ball,South America,17-05-2022,ActiveWear Smartphone,Electronics,239.7
T00218,C0148,P057,17-01-2024 19.40,3,719.1,239.7,719.1,Matthew Rogers,South America,16-04-2023,ActiveWear Smartphone,Electronics,239.7
T00417,C0035,P057,20-04-2024 22.54,3,719.1,239.7,719.1,Brianna Richardson,North America,01-10-2024,ActiveWear Smartphone,Electronics,239.7
T00492,C0120,P057,08-08-2024 5.40,3,719.1,239.7,719.1,Francisco Diaz,South America,13-01-2023,ActiveWear Smartphone,Electronics,239.7
T00605,C0017,P057,31-12-2023 3.27,4,958.8,239.7,958.8,Jennifer King,Europe,05-12-2023,ActiveWear Smartphone,Electronics,239.7
T00615,C0145,P057,14-07-2024 7.45,2,479.4,239.7,479.4,Wayne Stone,Asia,13-01-2023,ActiveWear Smartphone,Electronics,239.7
T00619,C0028,P057,25-12-2024 9.53,2,479.4,239.7,479.4,Jennifer Pena,Asia,29-06-2024,ActiveWear Smartphone,Electronics,239.7
T00703,C0092,P057,04-02-2024 0.31,3,719.1,239.7,719.1,Jacqueline Zamora,Asia,29-05-2024,ActiveWear Smartphone,Electronics,239.7
T00962,C0188,P057,29-11-2024 19.49,2,479.4,239.7,479.4,Anna Ball,South America,17-05-2022,ActiveWear Smartphone,Electronics,239.7
T00004,C0004,P049,19-07-2024 10.56,4,591.8,147.95,591.8,Kathleen Rodriguez,South America,09-10-2022,TechPro Textbook,Books,147.95
T00105,C0087,P049,12-02-2024 8.14,3,443.85,147.95,443.85,Travis Campbell,South America,11-04-2024,TechPro Textbook,Books,147.95
T00136,C0010,P049,22-02-2024 18.44,2,295.9,147.95,295.9,Aaron Cox,Europe,15-12-2022,TechPro Textbook,Books,147.95
T00237,C0065,P049,27-02-2024 22.16,2,295.9,147.95,295.9,Gerald Hines,North America,10-07-2024,TechPro Textbook,Books,147.95
T00239,C0132,P049,06-12-2024 19.03,2,295.9,147.95,295.9,Lisa Jackson,Europe,01-02-2023,TechPro Textbook,Books,147.95
T00310,C0068,P049,18-05-2024 5.03,2,295.9,147.95,295.9,Mark Cox,North America,04-04-2023,TechPro Textbook,Books,147.95
T00470,C0123,P049,13-11-2024 17.36,1,147.95,147.95,147.95,Jason Johnston,Asia,05-11-2023,TechPro Textbook,Books,147.95
T00551,C0018,P049,23-02-2024 13.28,3,443.85,147.95,443.85,Tyler Haynes,North America,21-09-2024,TechPro Textbook,Books,147.95
T00563,C0064,P049,16-01-2024 18.52,1,147.95,147.95,147.95,Martha Montgomery,Europe,22-10-2023,TechPro Textbook,Books,147.95
T00567,C0121,P049,27-09-2024 23.40,2,295.9,147.95,295.9,Mark Atkinson,Europe,23-07-2023,TechPro Textbook,Books,147.95
T00620,C0041,P049,05-01-2024 18.43,4,591.8,147.95,591.8,Lindsey Deleon,Europe,27-12-2023,TechPro Textbook,Books,147.95
T00650,C0070,P049,07-10-2024 14.56,4,591.8,147.95,591.8,Timothy Perez,Europe,15-03-2022,TechPro Textbook,Books,147.95
T00818,C0161,P049,01-01-2024 3.54,1,147.95,147.95,147.95,Jessica Warren,Asia,14-03-2022,TechPro Textbook,Books,147.95
T00923,C0173,P049,19-07-2024 10.31,1,147.95,147.95,147.95,Francisco Young,Asia,06-10-2022,TechPro Textbook,Books,147.95
T00970,C0132,P049,17-11-2024 6.14,4,591.8,147.95,591.8,Lisa Jackson,Europe,01-02-2023,TechPro Textbook,Books,147.95
T00005,C0150,P087,25-05-2024 17.44,2,580.34,290.17,580.34,Angela Williams,South America,13-09-2022,TechPro Running Shoes,Clothing,290.17
T00037,C0176,P087,09-03-2024 4.58,4,1160.68,290.17,1160.68,Nicole Booth,North America,23-03-2022,TechPro Running Shoes,Clothing,290.17
T00206,C0167,P087,05-05-2024 5.32,2,580.34,290.17,580.34,Brandy Welch,Europe,27-01-2024,TechPro Running Shoes,Clothing,290.17
T00208,C0184,P087,14-08-2024 2.02,1,290.17,290.17,290.17,Tina Jacobs,South America,13-05-2022,TechPro Running Shoes,Clothing,290.17
T00485,C0184,P087,13-05-2024 14.33,1,290.17,290.17,290.17,Tina Jacobs,South America,13-05-2022,TechPro Running Shoes,Clothing,290.17
T00488,C0034,P087,21-10-2024 12.47,2,580.34,290.17,580.34,Dalton Perez,North America,27-09-2023,TechPro Running Shoes,Clothing,290.17
T00497,C0053,P087,21-06-2024 2.02,4,1160.68,290.17,1160.68,Albert Burke,Europe,18-06-2022,TechPro Running Shoes,Clothing,290.17
T00684,C0102,P087,17-07-2024 7.26,1,290.17,290.17,290.17,Michael Atkinson,South America,16-09-2022,TechPro Running Shoes,Clothing,290.17
T00846,C0134,P087,10-11-2024 10.56,4,1160.68,290.17,1160.68,Theresa Gonzalez,Asia,19-02-2022,TechPro Running Shoes,Clothing,290.17
T00875,C0086,P087,26-09-2024 23.20,2,580.34,290.17,580.34,Stephanie Peterson,Europe,18-09-2022,TechPro Running Shoes,Clothing,290.17
T00880,C0036,P087,02-11-2024 12.20,3,870.51,290.17,870.51,Brian Aguilar DDS,North America,06-07-2024,TechPro Running Shoes,Clothing,290.17
T00953,C0056,P087,07-03-2024 21.09,2,580.34,290.17,580.34,Erika Fernandez,Asia,12-04-2024,TechPro Running Shoes,Clothing,290.17
T00006,C0076,P053,01-12-2024 20.44,3,824.82,274.94,824.82,Emily Roberts,South America,11-02-2024,TechPro Rug,Home Decor,274.94
T00010,C0194,P053,14-03-2024 11.55,1,274.94,274.94,274.94,Stacy Cook,North America,04-05-2024,TechPro Rug,Home Decor,274.94
T00175,C0146,P053,18-12-2024 18.28,3,824.82,274.94,824.82,Brittany Harvey,Asia,04-09-2024,TechPro Rug,Home Decor,274.94
T00269,C0124,P053,06-02-2024 16.22,4,1099.76,274.94,1099.76,Lindsay Perez,Europe,26-08-2024,TechPro Rug,Home Decor,274.94
T00293,C0053,P053,11-07-2024 15.32,3,824.82,274.94,824.82,Albert Burke,Europe,18-06-2022,TechPro Rug,Home Decor,274.94
T00568,C0065,P053,18-09-2024 5.00,1,274.94,274.94,274.94,Gerald Hines,North America,10-07-2024,TechPro Rug,Home Decor,274.94
T00602,C0024,P053,26-04-2024 11.26,1,274.94,274.94,274.94,Michele Cooley,North America,05-02-2024,TechPro Rug,Home Decor,274.94
T00744,C0004,P053,11-03-2024 9.25,4,1099.76,274.94,1099.76,Kathleen Rodriguez,South America,09-10-2022,TechPro Rug,Home Decor,274.94
T00952,C0139,P053,06-10-2024 6.02,1,274.94,274.94,274.94,Ricky Gutierrez,North America,14-03-2022,TechPro Rug,Home Decor,274.94
T00968,C0133,P053,05-12-2024 17.47,4,1099.76,274.94,1099.76,Gwendolyn Carter,South America,11-03-2023,TechPro Rug,Home Decor,274.94
T00007,C0173,P023,06-05-2024 18.05,4,1818.12,454.53,1818.12,Francisco Young,Asia,06-10-2022,ActiveWear Cookware Set,Home Decor,454.53
T00089,C0076,P023,19-06-2024 23.01,1,454.53,454.53,454.53,Emily Roberts,South America,11-02-2024,ActiveWear Cookware Set,Home Decor,454.53
T00158,C0012,P023,30-05-2024 3.34,2,909.06,454.53,909.06,Kevin May,South America,07-08-2024,ActiveWear Cookware Set,Home Decor,454.53
T00349,C0184,P023,18-04-2024 14.56,1,454.53,454.53,454.53,Tina Jacobs,South America,13-05-2022,ActiveWear Cookware Set,Home Decor,454.53
T00455,C0128,P023,08-01-2024 16.14,1,454.53,454.53,454.53,Henry Leach,Asia,29-05-2023,ActiveWear Cookware Set,Home Decor,454.53
T00501,C0158,P023,04-09-2024 16.19,3,1363.59,454.53,1363.59,Wendy Browning,South America,12-04-2023,ActiveWear Cookware Set,Home Decor,454.53
T00721,C0012,P023,08-12-2024 9.46,3,1363.59,454.53,1363.59,Kevin May,South America,07-08-2024,ActiveWear Cookware Set,Home Decor,454.53
T00749,C0133,P023,20-06-2024 19.04,2,909.06,454.53,909.06,Gwendolyn Carter,South America,11-03-2023,ActiveWear Cookware Set,Home Decor,454.53
T00997,C0164,P023,01-11-2024 23.04,4,1818.12,454.53,1818.12,Morgan Perez,Europe,01-06-2023,ActiveWear Cookware Set,Home Decor,454.53
T00008,C0067,P069,17-10-2024 0.45,1,100.81,100.81,100.81,Carl Gonzalez,North America,06-07-2023,BookWorld Biography,Books,100.81
T00035,C0142,P069,20-08-2024 15.26,2,201.62,100.81,201.62,Nicole Long DVM,Asia,08-02-2024,BookWorld Biography,Books,100.81
T00140,C0121,P069,18-03-2024 9.16,2,201.62,100.81,201.62,Mark Atkinson,Europe,23-07-2023,BookWorld Biography,Books,100.81
T00187,C0032,P069,24-02-2024 9.30,1,100.81,100.81,100.81,Dustin Campbell,South America,17-04-2024,BookWorld Biography,Books,100.81
T00194,C0063,P069,28-09-2024 6.07,1,100.81,100.81,100.81,Wayne Ferguson,Europe,05-02-2024,BookWorld Biography,Books,100.81
T00228,C0113,P069,21-04-2024 19.52,2,201.62,100.81,201.62,Joseph Ortiz Jr.,South America,17-06-2022,BookWorld Biography,Books,100.81
T00232,C0136,P069,10-11-2024 22.04,3,302.43,100.81,302.43,Kristen Holder,Asia,14-03-2024,BookWorld Biography,Books,100.81
T00355,C0017,P069,12-01-2024 20.20,2,201.62,100.81,201.62,Jennifer King,Europe,05-12-2023,BookWorld Biography,Books,100.81
T00448,C0194,P069,22-10-2024 8.13,2,201.62,100.81,201.62,Stacy Cook,North America,04-05-2024,BookWorld Biography,Books,100.81
T00561,C0172,P069,14-05-2024 14.21,1,100.81,100.81,100.81,Jamie Webb,Europe,09-09-2024,BookWorld Biography,Books,100.81
T00828,C0068,P069,04-06-2024 21.07,4,403.24,100.81,403.24,Mark Cox,North America,04-04-2023,BookWorld Biography,Books,100.81
T00852,C0125,P069,24-08-2024 9.50,3,302.43,100.81,302.43,Nicholas Taylor,North America,18-12-2022,BookWorld Biography,Books,100.81
T00009,C0086,P095,06-04-2024 3.41,4,909.04,227.26,909.04,Stephanie Peterson,Europe,18-09-2022,BookWorld Cookware Set,Home Decor,227.26
T00155,C0002,P095,12-07-2024 10.18,2,454.52,227.26,454.52,Elizabeth Lutz,Asia,13-02-2022,BookWorld Cookware Set,Home Decor,227.26
T00644,C0008,P095,13-06-2024 9.13,1,227.26,227.26,227.26,David Li,North America,13-01-2024,BookWorld Cookware Set,Home Decor,227.26
T00685,C0017,P095,11-05-2024 17.59,2,454.52,227.26,454.52,Jennifer King,Europe,05-12-2023,BookWorld Cookware Set,Home Decor,227.26
T00800,C0122,P095,25-08-2024 16.04,3,681.78,227.26,681.78,Corey Ruiz,North America,06-05-2022,BookWorld Cookware Set,Home Decor,227.26
T00961,C0109,P095,02-11-2024 1.55,3,681.78,227.26,681.78,Abigail Jones,North America,09-05-2022,BookWorld Cookware Set,Home Decor,227.26
T00965,C0071,P095,23-08-2024 15.53,4,909.04,227.26,909.04,Taylor Murphy,South America,01-07-2022,BookWorld Cookware Set,Home Decor,227.26
T00011,C0162,P062,03-04-2024 3.46,1,374.16,374.16,374.16,Edwin Watson,Asia,29-03-2022,HomeSense Novel,Books,374.16
T00041,C0141,P062,13-02-2024 23.56,4,1496.64,374.16,1496.64,Paul Parsons,Europe,23-02-2023,HomeSense Novel,Books,374.16
T00146,C0155,P062,24-07-2024 7.11,2,748.32,374.16,748.32,Michelle Brown,South America,23-03-2023,HomeSense Novel,Books,374.16
T00190,C0156,P062,25-09-2024 19.36,2,748.32,374.16,748.32,William Adams,North America,19-08-2023,HomeSense Novel,Books,374.16
T00221,C0188,P062,28-02-2024 14.14,4,1496.64,374.16,1496.64,Anna Ball,South America,17-05-2022,HomeSense Novel,Books,374.16
T00230,C0064,P062,06-12-2024 16.22,1,374.16,374.16,374.16,Martha Montgomery,Europe,22-10-2023,HomeSense Novel,Books,374.16
T00364,C0183,P062,16-06-2024 8.22,2,748.32,374.16,748.32,Kimberly Johnson,North America,23-01-2024,HomeSense Novel,Books,374.16
T00533,C0191,P062,12-07-2024 10.33,4,1496.64,374.16,1496.64,Samantha Gibson DVM,South America,07-04-2024,HomeSense Novel,Books,374.16
T00570,C0147,P062,25-12-2024 0.52,1,374.16,374.16,374.16,Hunter Fuller,South America,16-05-2022,HomeSense Novel,Books,374.16
T00640,C0087,P062,13-09-2024 23.20,3,1122.48,374.16,1122.48,Travis Campbell,South America,11-04-2024,HomeSense Novel,Books,374.16
T00649,C0028,P062,23-01-2024 7.39,3,1122.48,374.16,1122.48,Jennifer Pena,Asia,29-06-2024,HomeSense Novel,Books,374.16
T00664,C0138,P062,02-10-2024 22.44,4,1496.64,374.16,1496.64,Cynthia Clayton,Asia,01-11-2024,HomeSense Novel,Books,374.16
T00692,C0153,P062,30-06-2024 22.09,2,748.32,374.16,748.32,Justin Smith,South America,20-03-2022,HomeSense Novel,Books,374.16
T00723,C0043,P062,12-06-2024 1.39,2,748.32,374.16,748.32,Sandy Short MD,Asia,05-02-2023,HomeSense Novel,Books,374.16
T00725,C0135,P062,03-10-2024 20.53,2,748.32,374.16,748.32,Toni Weaver,Europe,23-08-2022,HomeSense Novel,Books,374.16
T00944,C0122,P062,08-10-2024 19.57,2,748.32,374.16,748.32,Corey Ruiz,North America,06-05-2022,HomeSense Novel,Books,374.16
T00012,C0091,P041,29-03-2024 1.28,4,1825.12,456.28,1825.12,Lisa Kirk,South America,16-03-2023,ComfortLiving Smartphone,Electronics,456.28
T00034,C0168,P041,09-01-2024 11.00,4,1825.12,456.28,1825.12,Karen Clements MD,South America,13-12-2022,ComfortLiving Smartphone,Electronics,456.28
T00094,C0012,P041,14-07-2024 19.37,4,1825.12,456.28,1825.12,Kevin May,South America,07-08-2024,ComfortLiving Smartphone,Electronics,456.28
T00231,C0069,P041,27-08-2024 19.54,2,912.56,456.28,912.56,Stacy Foster,Europe,03-12-2023,ComfortLiving Smartphone,Electronics,456.28
T00236,C0184,P041,25-02-2024 14.08,1,456.28,456.28,456.28,Tina Jacobs,South America,13-05-2022,ComfortLiving Smartphone,Electronics,456.28
T00261,C0125,P041,20-02-2024 6.00,2,912.56,456.28,912.56,Nicholas Taylor,North America,18-12-2022,ComfortLiving Smartphone,Electronics,456.28
T00343,C0173,P041,02-01-2024 11.54,1,456.28,456.28,456.28,Francisco Young,Asia,06-10-2022,ComfortLiving Smartphone,Electronics,456.28
T00482,C0066,P041,04-06-2024 2.02,4,1825.12,456.28,1825.12,Catherine White,Europe,15-11-2024,ComfortLiving Smartphone,Electronics,456.28
T00589,C0186,P041,23-10-2024 16.42,1,456.28,456.28,456.28,Amber Alexander,Asia,11-10-2023,ComfortLiving Smartphone,Electronics,456.28
T00597,C0023,P041,01-07-2024 4.53,3,1368.84,456.28,1368.84,Nicholas Cain,Europe,04-03-2022,ComfortLiving Smartphone,Electronics,456.28
T00881,C0101,P041,19-08-2024 4.22,3,1368.84,456.28,1368.84,Kelsey Roberts,Asia,30-09-2023,ComfortLiving Smartphone,Electronics,456.28
T00014,C0105,P060,05-08-2024 7.35,1,155.65,155.65,155.65,Ryan Hampton,Europe,11-11-2024,HomeSense T-Shirt,Clothing,155.65
T00392,C0072,P060,02-11-2024 20.33,4,622.6,155.65,622.6,Sarah Scott,North America,24-07-2024,HomeSense T-Shirt,Clothing,155.65
T00405,C0093,P060,02-08-2024 21.41,2,311.3,155.65,311.3,Nancy Walker,Asia,13-07-2024,HomeSense T-Shirt,Clothing,155.65
T00452,C0009,P060,16-03-2024 17.26,1,155.65,155.65,155.65,Joy Clark,Europe,14-08-2023,HomeSense T-Shirt,Clothing,155.65
T00642,C0162,P060,06-08-2024 20.12,4,622.6,155.65,622.6,Edwin Watson,Asia,29-03-2022,HomeSense T-Shirt,Clothing,155.65
T00768,C0083,P060,17-12-2024 13.01,1,155.65,155.65,155.65,Christina Stark,South America,07-04-2022,HomeSense T-Shirt,Clothing,155.65
T00015,C0001,P054,19-01-2024 3.12,2,114.6,57.3,114.6,Lawrence Carroll,South America,10-07-2022,SoundWave Cookbook,Books,57.3
T00053,C0039,P054,30-09-2024 14.42,3,171.9,57.3,171.9,Angela Harris,South America,13-10-2024,SoundWave Cookbook,Books,57.3
T00203,C0124,P054,31-03-2024 16.50,4,229.2,57.3,229.2,Lindsay Perez,Europe,26-08-2024,SoundWave Cookbook,Books,57.3
T00210,C0165,P054,15-08-2024 15.59,2,114.6,57.3,114.6,Juan Mcdaniel,South America,09-04-2022,SoundWave Cookbook,Books,57.3
T00262,C0143,P054,30-01-2024 22.40,1,57.3,57.3,57.3,Brian Parker,Asia,27-05-2024,SoundWave Cookbook,Books,57.3
T00327,C0165,P054,27-11-2024 10.42,2,114.6,57.3,114.6,Juan Mcdaniel,South America,09-04-2022,SoundWave Cookbook,Books,57.3
T00395,C0038,P054,14-03-2024 8.10,3,171.9,57.3,171.9,Jeffrey Perkins,North America,16-04-2022,SoundWave Cookbook,Books,57.3
T00423,C0019,P054,08-11-2024 10.22,3,171.9,57.3,171.9,Brandon Rodriguez,Europe,12-01-2023,SoundWave Cookbook,Books,57.3
T00581,C0083,P054,13-11-2024 4.56,2,114.6,57.3,114.6,Christina Stark,South America,07-04-2022,SoundWave Cookbook,Books,57.3
T00634,C0073,P054,20-03-2024 2.37,4,229.2,57.3,229.2,Heidi Johnson,Europe,20-08-2022,SoundWave Cookbook,Books,57.3
T00699,C0156,P054,21-04-2024 22.39,3,171.9,57.3,171.9,William Adams,North America,19-08-2023,SoundWave Cookbook,Books,57.3
T00784,C0047,P054,23-08-2024 9.06,3,171.9,57.3,171.9,Samantha Frank,North America,22-03-2024,SoundWave Cookbook,Books,57.3
T00808,C0190,P054,06-07-2024 0.13,4,229.2,57.3,229.2,Alexander Lowe,South America,31-05-2024,SoundWave Cookbook,Books,57.3
T00873,C0086,P054,02-08-2024 11.13,4,229.2,57.3,229.2,Stephanie Peterson,Europe,18-09-2022,SoundWave Cookbook,Books,57.3
T00884,C0171,P054,28-01-2024 18.40,3,171.9,57.3,171.9,Michael Cowan,South America,16-12-2022,SoundWave Cookbook,Books,57.3
T00926,C0181,P054,16-08-2024 2.29,3,171.9,57.3,171.9,Alexander Barker,South America,16-11-2023,SoundWave Cookbook,Books,57.3
T00016,C0072,P070,05-07-2024 23.04,2,97.38,48.69,97.38,Sarah Scott,North America,24-07-2024,HomeSense T-Shirt,Clothing,48.69
T00087,C0108,P070,16-02-2024 19.58,1,48.69,48.69,48.69,David Davis,South America,28-09-2022,HomeSense T-Shirt,Clothing,48.69
T00098,C0090,P070,28-08-2024 2.11,3,146.07,48.69,146.07,Charles Hamilton,Asia,17-10-2023,HomeSense T-Shirt,Clothing,48.69
T00281,C0126,P070,24-09-2024 16.29,1,48.69,48.69,48.69,Caitlin Brown,South America,20-02-2024,HomeSense T-Shirt,Clothing,48.69
T00750,C0056,P070,25-12-2024 21.16,4,194.76,48.69,194.76,Erika Fernandez,Asia,12-04-2024,HomeSense T-Shirt,Clothing,48.69
T00762,C0106,P070,01-11-2024 9.20,4,194.76,48.69,194.76,Amanda Mcguire,Asia,22-09-2022,HomeSense T-Shirt,Clothing,48.69
T00018,C0166,P010,21-09-2024 22.21,3,1050.39,350.13,1050.39,John Rogers,Europe,13-02-2022,ComfortLiving Smartwatch,Electronics,350.13
T00068,C0088,P010,22-09-2024 23.11,3,1050.39,350.13,1050.39,Carlos Murray,Asia,14-05-2023,ComfortLiving Smartwatch,Electronics,350.13
T00243,C0069,P010,31-08-2024 0.38,2,700.26,350.13,700.26,Stacy Foster,Europe,03-12-2023,ComfortLiving Smartwatch,Electronics,350.13
T00276,C0113,P010,27-11-2024 17.12,3,1050.39,350.13,1050.39,Joseph Ortiz Jr.,South America,17-06-2022,ComfortLiving Smartwatch,Electronics,350.13
T00292,C0086,P010,26-12-2024 2.30,2,700.26,350.13,700.26,Stephanie Peterson,Europe,18-09-2022,ComfortLiving Smartwatch,Electronics,350.13
T00315,C0125,P010,03-04-2024 21.46,3,1050.39,350.13,1050.39,Nicholas Taylor,North America,18-12-2022,ComfortLiving Smartwatch,Electronics,350.13
T00372,C0192,P010,22-07-2024 10.55,1,350.13,350.13,350.13,Sarah Arias,South America,15-09-2022,ComfortLiving Smartwatch,Electronics,350.13
T00516,C0074,P010,29-07-2024 6.11,1,350.13,350.13,350.13,Jonathan Russo,Europe,27-05-2022,ComfortLiving Smartwatch,Electronics,350.13
T00710,C0162,P010,13-01-2024 9.31,1,350.13,350.13,350.13,Edwin Watson,Asia,29-03-2022,ComfortLiving Smartwatch,Electronics,350.13
T00830,C0048,P010,28-01-2024 9.13,2,700.26,350.13,700.26,Matthew Park,South America,07-11-2024,ComfortLiving Smartwatch,Electronics,350.13
T00986,C0122,P010,20-05-2024 10.52,2,700.26,350.13,700.26,Corey Ruiz,North America,06-05-2022,ComfortLiving Smartwatch,Electronics,350.13
T00019,C0006,P040,05-06-2024 1.19,2,306.38,153.19,306.38,Brittany Palmer,South America,07-01-2024,SoundWave Mystery Book,Books,153.19
T00137,C0142,P040,03-04-2024 12.44,4,612.76,153.19,612.76,Nicole Long DVM,Asia,08-02-2024,SoundWave Mystery Book,Books,153.19
T00347,C0139,P040,24-01-2024 21.50,2,306.38,153.19,306.38,Ricky Gutierrez,North America,14-03-2022,SoundWave Mystery Book,Books,153.19
T00359,C0048,P040,04-12-2024 20.50,4,612.76,153.19,612.76,Matthew Park,South America,07-11-2024,SoundWave Mystery Book,Books,153.19
T00406,C0171,P040,18-02-2024 0.12,2,306.38,153.19,306.38,Michael Cowan,South America,16-12-2022,SoundWave Mystery Book,Books,153.19
T00538,C0119,P040,26-04-2024 17.37,2,306.38,153.19,306.38,David Armstrong,Europe,13-11-2023,SoundWave Mystery Book,Books,153.19
T00637,C0184,P040,08-09-2024 8.52,3,459.57,153.19,459.57,Tina Jacobs,South America,13-05-2022,SoundWave Mystery Book,Books,153.19
T00704,C0186,P040,21-06-2024 7.59,4,612.76,153.19,612.76,Amber Alexander,Asia,11-10-2023,SoundWave Mystery Book,Books,153.19
T00910,C0071,P040,22-05-2024 3.47,1,153.19,153.19,153.19,Taylor Murphy,South America,01-07-2022,SoundWave Mystery Book,Books,153.19
T00930,C0193,P040,27-05-2024 9.32,2,306.38,153.19,306.38,Douglas Torres,Asia,03-02-2023,SoundWave Mystery Book,Books,153.19
T00936,C0148,P040,11-06-2024 20.36,4,612.76,153.19,612.76,Matthew Rogers,South America,16-04-2023,SoundWave Mystery Book,Books,153.19
T00993,C0027,P040,08-03-2024 9.48,2,306.38,153.19,306.38,Justin Heath,Asia,09-11-2022,SoundWave Mystery Book,Books,153.19
T00995,C0191,P040,04-06-2024 6.32,4,612.76,153.19,612.76,Samantha Gibson DVM,South America,07-04-2024,SoundWave Mystery Book,Books,153.19
T00020,C0153,P007,16-07-2024 22.33,4,1680.6,420.15,1680.6,Justin Smith,South America,20-03-2022,SoundWave Cookbook,Books,420.15
T00163,C0101,P007,13-03-2024 22.33,4,1680.6,420.15,1680.6,Kelsey Roberts,Asia,30-09-2023,SoundWave Cookbook,Books,420.15
